authority_cluster,pages,avg_inbound_links,total_inbound_links,avg_graph_score,high_priority_pages,total_search_impressions,max_opportunity_score
powerfurl,124,19.096774193548388,2368.0,127.01612903225806,118,0.0,0.0
morfblock,108,15.453703703703704,1669.0,132.96296296296296,103,0.0,0.0
dogbone,60,20.4,1224.0,138.16666666666666,60,401.0,125.0
morfring,31,31.032258064516128,962.0,128.8709677419355,29,0.0,0.0
shackle,28,37.67857142857143,1055.0,130.35714285714286,27,66.0,85.0
other,89,96.1685393258427,8559.0,53.247191011235955,23,30.0,50.0
padeye,20,46.5,930.0,134.25,20,28.0,105.0
mloop,8,14.625,117.0,146.875,8,187.0,130.0
mreel,6,17.833333333333332,107.0,136.66666666666666,6,0.0,0.0
custom_engineering,17,69.05882352941177,1174.0,62.64705882352941,4,0.0,0.0
morfwing,8,66.0,528.0,68.75,2,0.0,0.0
hoistlock,1,2.0,2.0,145.0,1,0.0,0.0
