check_name,status,severity,file_path,fresh_today,row_count,min_expected_rows,missing_columns,notes
Crawl CSV,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Crawls\2026-06-22_site_crawl.csv,True,500,50,,Output looks usable.
Search Console Merge,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Merged_Analysis\2026-06-22_search_console_merge.csv,True,3,1,,Output looks usable.
Internal Link Graph Pages,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Internal_Linking\2026-06-22_internal_link_graph_pages.csv,True,500,50,,Output looks usable.
Contextual Link Recommendations,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Contextual_Links\2026-06-22_contextual_link_recommendations_filtered.csv,True,916,10,,Output looks usable.
Semantic Cluster Summary,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Semantic_Clusters\2026-06-22_semantic_clusters.csv,True,12,3,,Output looks usable.
Semantic Cluster Pages,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Semantic_Clusters\2026-06-22_semantic_cluster_pages.csv,True,260,50,,Output looks usable.
Content Gap Analysis,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Content_Gap_Analysis\2026-06-22_content_gap_analysis.csv,True,9,1,,Output looks usable.
Topic Authority Map,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Topic_Authority_Map\2026-06-22_topic_authority_map.csv,True,12,3,,Output looks usable.
Executive Review,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Executive_Reviews\2026-06-22_SEO_Executive_Review.md,True,236,0,,Output looks usable.
Historical Comparison,PASS,OK,C:\Users\nicol\Documents\Obsidian\Morfrac\MORFRAC\06_MARKETING\SEO_Agent\Historical_Comparisons\2026-06-22_SEO_Historical_Comparison.md,True,211,0,,Output looks usable.
