manual_topic_label,page_role,pages,total_impressions,total_clicks,avg_priority
custom_engineering,general,4,0.0,0.0,0.0
custom_engineering,authority_content,2,0.0,0.0,0.0
custom_engineering,category,1,0.0,0.0,0.0
dogbone,product,30,0.0,0.0,0.0
dogbone,category,3,0.0,0.0,0.0
dogbone,general,2,0.0,0.0,0.0
dogbone,landing,1,470.0,3.0,102.6
hoistlock,product,1,0.0,0.0,0.0
mloop,product,4,0.0,0.0,0.0
mloop,category,1,0.0,0.0,0.0
morfblock,product,62,0.0,0.0,0.0
morfblock,category,7,0.0,0.0,0.0
morfblock,authority_content,3,0.0,0.0,0.0
morfblock,landing,1,0.0,0.0,0.0
morfring,product,13,0.0,0.0,0.0
morfring,category,1,0.0,0.0,0.0
morfring,landing,1,0.0,0.0,0.0
morfwing,authority_content,4,0.0,0.0,0.0
morfwing,landing,1,0.0,0.0,0.0
mreel,product,4,0.0,0.0,0.0
mreel,category,1,0.0,0.0,0.0
other,category,9,0.0,0.0,0.0
other,authority_content,7,0.0,0.0,0.0
other,general,5,0.0,0.0,0.0
padeye,product,8,0.0,0.0,0.0
padeye,category,1,0.0,0.0,0.0
padeye,landing,1,0.0,0.0,0.0
powerfurl,product,44,0.0,0.0,0.0
powerfurl,category,16,0.0,0.0,0.0
powerfurl,authority_content,5,0.0,0.0,0.0
powerfurl,general,1,119.0,13.0,54.5
powerfurl,landing,1,0.0,0.0,0.0
shackle,product,12,0.0,0.0,0.0
shackle,category,2,0.0,0.0,0.0
shackle,landing,1,0.0,0.0,0.0
