url,final_url,status_code,load_time_seconds,error,title,title_length,meta_description,meta_description_length,canonical,robots,indexable,page_type,business_priority,authority_value,commercial_relevance,likely_noise,h1_count,h1,word_count,image_count,images_missing_alt,internal_link_count,internal_links
https://www.morfrac.com/,https://www.morfrac.com/,200,0.93,,MORFRAC | High Performance Sailing Hardware,43,"High performance sailing hardware engineered by sailors for sailors: powerfurl. furling systems, morfblock. blocks, mreel. rope reelers and custom deck hardware",160,https://www.morfrac.com/,,True,general,medium,medium,medium,low,5,more for your project. | more for your boat. | MORFRAC,449,21,1,22,"['https://www.morfrac.com/', 'https://www.morfrac.com/about', 'https://www.morfrac.com/blog', 'https://www.morfrac.com/contactus', 'https://www.morfrac.com/custom', 'https://www.morfrac.com/dogbone', 'https://www.morfrac.com/es', 'https://www.morfrac.com/morfblock', 'https://www.morfrac.com/morfring', 'https://www.morfrac.com/padeye', 'https://www.morfrac.com/partner', 'https://www.morfrac.com/powerfurl', 'https://www.morfrac.com/shackle', 'https://www.morfrac.com/shop', 'https://www.morfrac.com/shop/cart', 'https://www.morfrac.com/shop/category/powerfurl-1', 'https://www.morfrac.com/shop/wishlist', 'https://www.morfrac.com/solutions', 'https://www.morfrac.com/web/login', 'https://www.morfrac.com/website/social/facebook', 'https://www.morfrac.com/website/social/instagram', 'https://www.morfrac.com/website/social/linkedin']"
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,200,0.91,,mloop.[one] - High-performance Dyneema® loop,44,"Lightweight, high-strength soft loop connector designed for versatile rigging applications. Perfect for performance sailing and advanced deck hardware setups.",158,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,,True,product,high,high,high,low,1,mloop.[one],254,25,7,30,"['https://www.morfrac.com/', 'https://www.morfrac.com/about', 'https://www.morfrac.com/blog', 'https://www.morfrac.com/contactus', 'https://www.morfrac.com/custom', 'https://www.morfrac.com/dogbone', 'https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675', 'https://www.morfrac.com/morfblock', 'https://www.morfrac.com/morfring', 'https://www.morfrac.com/padeye', 'https://www.morfrac.com/partner', 'https://www.morfrac.com/powerfurl', 'https://www.morfrac.com/shackle', 'https://www.morfrac.com/shop', 'https://www.morfrac.com/shop/cart', 'https://www.morfrac.com/shop/category/dogbone-25', 'https://www.morfrac.com/shop/category/mloop-34', 'https://www.morfrac.com/shop/category/morfblock-17', 'https://www.morfrac.com/shop/category/morfring-26', 'https://www.morfrac.com/shop/category/padeye-27', 'https://www.morfrac.com/shop/category/powerfurl-1', 'https://www.morfrac.com/shop/category/shackle-24', 'https://www.morfrac.com/shop/mloop-dyneema-loop-12675', 'https://www.morfrac.com/shop/wishlist', 'https://www.morfrac.com/solutions', 'https://www.morfrac.com/terms', 'https://www.morfrac.com/web/login', 'https://www.morfrac.com/website/social/facebook', 'https://www.morfrac.com/website/social/instagram', 'https://www.morfrac.com/website/social/linkedin']"
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,200,0.84,,mloop.[one] - High-performance Dyneema® loop,44,"Lightweight, high-strength soft loop connector designed for versatile rigging applications. Perfect for performance sailing and advanced deck hardware setups.",158,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,,True,product,high,high,high,low,1,mloop.[one],240,25,7,31,"['https://www.morfrac.com/es', 'https://www.morfrac.com/es/about', 'https://www.morfrac.com/es/blog', 'https://www.morfrac.com/es/contactus', 'https://www.morfrac.com/es/custom', 'https://www.morfrac.com/es/dogbone', 'https://www.morfrac.com/es/morfblock', 'https://www.morfrac.com/es/morfring', 'https://www.morfrac.com/es/padeye', 'https://www.morfrac.com/es/partner', 'https://www.morfrac.com/es/powerfurl', 'https://www.morfrac.com/es/shackle', 'https://www.morfrac.com/es/shop', 'https://www.morfrac.com/es/shop/cart', 'https://www.morfrac.com/es/shop/category/dogbone-25', 'https://www.morfrac.com/es/shop/category/mloop-34', 'https://www.morfrac.com/es/shop/category/morfblock-17', 'https://www.morfrac.com/es/shop/category/morfring-26', 'https://www.morfrac.com/es/shop/category/padeye-27', 'https://www.morfrac.com/es/shop/category/powerfurl-1', 'https://www.morfrac.com/es/shop/category/shackle-24', 'https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675', 'https://www.morfrac.com/es/shop/wishlist', 'https://www.morfrac.com/es/solutions', 'https://www.morfrac.com/es/terms', 'https://www.morfrac.com/es/website/social/facebook', 'https://www.morfrac.com/es/website/social/instagram', 'https://www.morfrac.com/es/website/social/linkedin', 'https://www.morfrac.com/es/website/social/twitter', 'https://www.morfrac.com/shop/mloop-dyneema-loop-12675', 'https://www.morfrac.com/web/login']"
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,200,1.07,,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,58,Aluminium dogbone. designed for versatile soft attachment applications and lightweight sailing hardware integration. Total length 60mm. | MORFRAC,145,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,,True,product,high,high,high,low,1,dogbone.60-23,307,17,8,29,"['https://www.morfrac.com/', 'https://www.morfrac.com/about', 'https://www.morfrac.com/blog', 'https://www.morfrac.com/contactus', 'https://www.morfrac.com/custom', 'https://www.morfrac.com/dogbone', 'https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467', 'https://www.morfrac.com/morfblock', 'https://www.morfrac.com/morfring', 'https://www.morfrac.com/padeye', 'https://www.morfrac.com/partner', 'https://www.morfrac.com/powerfurl', 'https://www.morfrac.com/shackle', 'https://www.morfrac.com/shop', 'https://www.morfrac.com/shop/cart', 'https://www.morfrac.com/shop/category/dogbone-25', 'https://www.morfrac.com/shop/category/morfblock-17', 'https://www.morfrac.com/shop/category/morfring-26', 'https://www.morfrac.com/shop/category/padeye-27', 'https://www.morfrac.com/shop/category/powerfurl-1', 'https://www.morfrac.com/shop/category/shackle-24', 'https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467', 'https://www.morfrac.com/shop/wishlist', 'https://www.morfrac.com/solutions', 'https://www.morfrac.com/terms', 'https://www.morfrac.com/web/login', 'https://www.morfrac.com/website/social/facebook', 'https://www.morfrac.com/website/social/instagram', 'https://www.morfrac.com/website/social/linkedin']"
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467,200,0.96,,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,58,Aluminium dogbone. designed for versatile soft attachment applications and lightweight sailing hardware integration. Total length 60mm. | MORFRAC,145,https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467,,True,product,high,high,high,low,1,dogbone.60-23,293,17,8,30,"['https://www.morfrac.com/es', 'https://www.morfrac.com/es/about', 'https://www.morfrac.com/es/blog', 'https://www.morfrac.com/es/contactus', 'https://www.morfrac.com/es/custom', 'https://www.morfrac.com/es/dogbone', 'https://www.morfrac.com/es/morfblock', 'https://www.morfrac.com/es/morfring', 'https://www.morfrac.com/es/padeye', 'https://www.morfrac.com/es/partner', 'https://www.morfrac.com/es/powerfurl', 'https://www.morfrac.com/es/shackle', 'https://www.morfrac.com/es/shop', 'https://www.morfrac.com/es/shop/cart', 'https://www.morfrac.com/es/shop/category/dogbone-25', 'https://www.morfrac.com/es/shop/category/morfblock-17', 'https://www.morfrac.com/es/shop/category/morfring-26', 'https://www.morfrac.com/es/shop/category/padeye-27', 'https://www.morfrac.com/es/shop/category/powerfurl-1', 'https://www.morfrac.com/es/shop/category/shackle-24', 'https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467', 'https://www.morfrac.com/es/shop/wishlist', 'https://www.morfrac.com/es/solutions', 'https://www.morfrac.com/es/terms', 'https://www.morfrac.com/es/website/social/facebook', 'https://www.morfrac.com/es/website/social/instagram', 'https://www.morfrac.com/es/website/social/linkedin', 'https://www.morfrac.com/es/website/social/twitter', 'https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467', 'https://www.morfrac.com/web/login']"
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,200,0.83,,D-Shackle | MORFRAC OUTLET | Best Online Deal,45,"Grade 5 Titanium D-shackle, CNC-machined. Ultra light weight, and unmatched load capacity. The most resistant metal shackle available. Perfect for high-load applications.",170,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,,True,product,high,high,high,low,1,D-Shackle 6mm,212,19,7,31,"['https://www.morfrac.com/es', 'https://www.morfrac.com/es/about', 'https://www.morfrac.com/es/blog', 'https://www.morfrac.com/es/contactus', 'https://www.morfrac.com/es/custom', 'https://www.morfrac.com/es/dogbone', 'https://www.morfrac.com/es/morfblock', 'https://www.morfrac.com/es/morfring', 'https://www.morfrac.com/es/padeye', 'https://www.morfrac.com/es/partner', 'https://www.morfrac.com/es/powerfurl', 'https://www.morfrac.com/es/shackle', 'https://www.morfrac.com/es/shop', 'https://www.morfrac.com/es/shop/cart', 'https://www.morfrac.com/es/shop/category/dogbone-25', 'https://www.morfrac.com/es/shop/category/morfblock-17', 'https://www.morfrac.com/es/shop/category/morfring-26', 'https://www.morfrac.com/es/shop/category/outlet-36', 'https://www.morfrac.com/es/shop/category/padeye-27', 'https://www.morfrac.com/es/shop/category/powerfurl-1', 'https://www.morfrac.com/es/shop/category/shackle-24', 'https://www.morfrac.com/es/shop/shackle-17-4ph-12827', 'https://www.morfrac.com/es/shop/wishlist', 'https://www.morfrac.com/es/solutions', 'https://www.morfrac.com/es/terms', 'https://www.morfrac.com/es/website/social/facebook', 'https://www.morfrac.com/es/website/social/instagram', 'https://www.morfrac.com/es/website/social/linkedin', 'https://www.morfrac.com/es/website/social/twitter', 'https://www.morfrac.com/shop/shackle-17-4ph-12827', 'https://www.morfrac.com/web/login']"
https://www.morfrac.com/shop/morfblock-light-4-p-12338,https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338,200,0.8,,morfblock.[LIGHT] - 04 | 1500kg SWL | Lightweight Sailing Block | MORFRAC,73,Compact lightweight sailing block engineered for smooth running and top-level sailing efficiency. 1500kg SWL.,109,https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338,,True,product,high,high,high,low,1,morfblock.[LIGHT] - 04 - Performance,418,20,11,31,"['https://www.morfrac.com/', 'https://www.morfrac.com/about', 'https://www.morfrac.com/blog', 'https://www.morfrac.com/contactus', 'https://www.morfrac.com/custom', 'https://www.morfrac.com/document/share/12/d301f2c6-5349-4ff4-b4b7-25a78f83e1e7', 'https://www.morfrac.com/document/share/13/2b506fa7-1216-484f-900f-d0fe8d85ffdd', 'https://www.morfrac.com/dogbone', 'https://www.morfrac.com/es/shop/morfblock-light-04-performance-sailing-block-12338', 'https://www.morfrac.com/morfblock', 'https://www.morfrac.com/morfring', 'https://www.morfrac.com/padeye', 'https://www.morfrac.com/partner', 'https://www.morfrac.com/powerfurl', 'https://www.morfrac.com/shackle', 'https://www.morfrac.com/shop', 'https://www.morfrac.com/shop/cart', 'https://www.morfrac.com/shop/category/dogbone-25', 'https://www.morfrac.com/shop/category/morfblock-17', 'https://www.morfrac.com/shop/category/morfring-26', 'https://www.morfrac.com/shop/category/padeye-27', 'https://www.morfrac.com/shop/category/powerfurl-1', 'https://www.morfrac.com/shop/category/shackle-24', 'https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338', 'https://www.morfrac.com/shop/wishlist', 'https://www.morfrac.com/solutions', 'https://www.morfrac.com/terms', 'https://www.morfrac.com/web/login', 'https://www.morfrac.com/website/social/facebook', 'https://www.morfrac.com/website/social/instagram', 'https://www.morfrac.com/website/social/linkedin']"
https://www.morfrac.com/shop/morfblock-light-4-hl-12823,https://www.morfrac.com/shop/morfblock-light-4-hl-12823,200,0.58,,morfblock.[LIGHT] - 04 | Sailing Block | MORFRAC,48,morfblock.[LIGHT] - Sheave Ø 50mm - Max line Ø 14mm 2000 kg SWL - High load bearing,83,https://www.morfrac.com/shop/morfblock-light-4-hl-12823,,True,product,high,high,high,low,2,morfblock.[LIGHT] - 04 - High Load - Green,508,20,7,30,"['https://www.morfrac.com/', 'https://www.morfrac.com/about', 'https://www.morfrac.com/blog', 'https://www.morfrac.com/contactus', 'https://www.morfrac.com/custom', 'https://www.morfrac.com/dogbone', 'https://www.morfrac.com/es/shop/morfblock-light-4-hl-12823', 'https://www.morfrac.com/morfblock', 'https://www.morfrac.com/morfring', 'https://www.morfrac.com/padeye', 'https://www.morfrac.com/partner', 'https://www.morfrac.com/powerfurl', 'https://www.morfrac.com/shackle', 'https://www.morfrac.com/shop', 'https://www.morfrac.com/shop/cart', 'https://www.morfrac.com/shop/category/dogbone-25', 'https://www.morfrac.com/shop/category/morfblock-17', 'https://www.morfrac.com/shop/category/morfring-26', 'https://www.morfrac.com/shop/category/outlet-36', 'https://www.morfrac.com/shop/category/padeye-27', 'https://www.morfrac.com/shop/category/powerfurl-1', 'https://www.morfrac.com/shop/category/shackle-24', 'https://www.morfrac.com/shop/morfblock-light-4-hl-12823', 'https://www.morfrac.com/shop/wishlist', 'https://www.morfrac.com/solutions', 'https://www.morfrac.com/terms', 'https://www.morfrac.com/web/login', 'https://www.morfrac.com/website/social/facebook', 'https://www.morfrac.com/website/social/instagram', 'https://www.morfrac.com/website/social/linkedin']"
https://www.morfrac.com/es/shop/category/mloop-34,https://www.morfrac.com/es/shop/category/mloop-34,200,0.85,,mloop. | MORFRAC,16,,0,https://www.morfrac.com/es/shop/category/mloop-34,,True,product,high,high,high,low,3,[shop] ​ | MORFRAC[shop] | mloop.,345,19,1,57,"['https://www.morfrac.com/es', 'https://www.morfrac.com/es/about', 'https://www.morfrac.com/es/become-a-morfrac-trade-partner', 'https://www.morfrac.com/es/blog', 'https://www.morfrac.com/es/contactus', 'https://www.morfrac.com/es/custom', 'https://www.morfrac.com/es/dogbone', 'https://www.morfrac.com/es/morfblock', 'https://www.morfrac.com/es/morfring', 'https://www.morfrac.com/es/padeye', 'https://www.morfrac.com/es/partner', 'https://www.morfrac.com/es/powerfurl', 'https://www.morfrac.com/es/shackle', 'https://www.morfrac.com/es/shop', 'https://www.morfrac.com/es/shop/cart', 'https://www.morfrac.com/es/shop/category/custom-33', 'https://www.morfrac.com/es/shop/category/dogbone-25', 'https://www.morfrac.com/es/shop/category/dogbone-dogbone-al-28', 'https://www.morfrac.com/es/shop/category/dogbone-dogbone-ti-29', 'https://www.morfrac.com/es/shop/category/mainsail-systems-39', 'https://www.morfrac.com/es/shop/category/mloop-34', 'https://www.morfrac.com/es/shop/category/morfblock-17', 'https://www.morfrac.com/es/shop/category/morfblock-max-38', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-light-18', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-snatch-19', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-wood-20', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-xl-21', 'https://www.morfrac.com/es/shop/category/morfring-26', 'https://www.morfrac.com/es/shop/category/mreel-35', 'https://www.morfrac.com/es/shop/category/outlet-36', 'https://www.morfrac.com/es/shop/category/padeye-27', 'https://www.morfrac.com/es/shop/category/powerfurl-1', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-eight-10', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-four-11', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-one-12', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-six-13', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-ten-14', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-three-15', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-twelve-16', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30', 'https://www.morfrac.com/es/shop/category/powerfurl-tdi-22', 'https://www.morfrac.com/es/shop/category/powerfurl-tdi-s-23', 'https://www.morfrac.com/es/shop/category/powerfurl-underdeck-32', 'https://www.morfrac.com/es/shop/category/shackle-24', 'https://www.morfrac.com/es/shop/category/ti-shackle-24', 'https://www.morfrac.com/es/shop/mloop-34/mloop-custom-12674', 'https://www.morfrac.com/es/shop/mloop-34/mloop-dyneema-loop-12675', 'https://www.morfrac.com/es/shop/wishlist', 'https://www.morfrac.com/es/solutions', 'https://www.morfrac.com/es/subscribe-to-the-morfrac-dispatch', 'https://www.morfrac.com/es/website/social/facebook', 'https://www.morfrac.com/es/website/social/instagram', 'https://www.morfrac.com/es/website/social/linkedin', 'https://www.morfrac.com/es/website/social/twitter', 'https://www.morfrac.com/shop/category/mloop-34', 'https://www.morfrac.com/web/login']"
https://www.morfrac.com/es/shop/category/morfblock-17,https://www.morfrac.com/es/shop/category/morfblock-17,200,0.94,,morfblock. | MORFRAC,20,,0,https://www.morfrac.com/es/shop/category/morfblock-17,,True,product,high,high,high,low,3,[shop] ​ | MORFRAC[shop] | morfblock.,618,32,1,73,"['https://www.morfrac.com/es', 'https://www.morfrac.com/es/about', 'https://www.morfrac.com/es/become-a-morfrac-trade-partner', 'https://www.morfrac.com/es/blog', 'https://www.morfrac.com/es/contactus', 'https://www.morfrac.com/es/custom', 'https://www.morfrac.com/es/dogbone', 'https://www.morfrac.com/es/morfblock', 'https://www.morfrac.com/es/morfring', 'https://www.morfrac.com/es/padeye', 'https://www.morfrac.com/es/partner', 'https://www.morfrac.com/es/powerfurl', 'https://www.morfrac.com/es/shackle', 'https://www.morfrac.com/es/shop', 'https://www.morfrac.com/es/shop/cart', 'https://www.morfrac.com/es/shop/category/custom-33', 'https://www.morfrac.com/es/shop/category/dogbone-25', 'https://www.morfrac.com/es/shop/category/dogbone-dogbone-al-28', 'https://www.morfrac.com/es/shop/category/dogbone-dogbone-ti-29', 'https://www.morfrac.com/es/shop/category/mainsail-systems-39', 'https://www.morfrac.com/es/shop/category/mloop-34', 'https://www.morfrac.com/es/shop/category/morfblock-17', 'https://www.morfrac.com/es/shop/category/morfblock-17/page/2', 'https://www.morfrac.com/es/shop/category/morfblock-17/page/3', 'https://www.morfrac.com/es/shop/category/morfblock-max-38', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-light-18', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-snatch-19', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-wood-20', 'https://www.morfrac.com/es/shop/category/morfblock-morfblock-xl-21', 'https://www.morfrac.com/es/shop/category/morfring-26', 'https://www.morfrac.com/es/shop/category/mreel-35', 'https://www.morfrac.com/es/shop/category/outlet-36', 'https://www.morfrac.com/es/shop/category/padeye-27', 'https://www.morfrac.com/es/shop/category/powerfurl-1', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-eight-10', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-four-11', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-one-12', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-six-13', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-ten-14', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-three-15', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-powerfurl-twelve-16', 'https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30', 'https://www.morfrac.com/es/shop/category/powerfurl-tdi-22', 'https://www.morfrac.com/es/shop/category/powerfurl-tdi-s-23', 'https://www.morfrac.com/es/shop/category/powerfurl-underdeck-32', 'https://www.morfrac.com/es/shop/category/shackle-24', 'https://www.morfrac.com/es/shop/category/ti-shackle-24', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-performance-sailing-block-12342', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-high-load-sailing-block-12364', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-performance-sailing-block-12366', 'https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-02-high-load-sailing-block-12372', 'https://www.morfrac.com/es/shop/wishlist', 'https://www.morfrac.com/es/solutions', 'https://www.morfrac.com/es/subscribe-to-the-morfrac-dispatch', 'https://www.morfrac.com/es/website/social/facebook', 'https://www.morfrac.com/es/website/social/instagram', 'https://www.morfrac.com/es/website/social/linkedin', 'https://www.morfrac.com/es/website/social/twitter', 'https://www.morfrac.com/shop/category/morfblock-17', 'https://www.morfrac.com/web/login']"
